id,uid,pid,suggestion_id,starttime,endtime,status
7031,4807,994,1,2016-05-31 19:00:00,2016-05-31 20:00:00,2
7032,7749,588,1,2016-05-24 20:00:00,2016-05-24 21:00:00,2
7045,8114,1488,1,2016-06-02 13:59:00,2016-06-02 14:59:00,2
7048,6912,1515,1,2016-06-02 13:57:00,2016-06-02 14:00:00,2
7055,9615,1516,1,2016-06-02 14:00:00,2016-06-03 14:59:00,2
7058,8223,1400,1,2016-06-02 15:00:00,2016-06-02 16:00:00,2
7059,7190,1439,1,2016-06-03 09:00:00,2016-06-03 09:50:00,2
7066,6809,1417,1,2016-06-03 08:30:00,2016-06-03 09:20:00,2
7079,9477,1404,5,2016-06-03 13:55:00,2016-06-03 14:55:00,2
7080,3268,1304,1,2016-06-03 16:00:00,2016-06-03 16:55:00,2
7082,8107,1491,1,2016-06-03 15:00:00,2016-06-03 15:50:00,2
7083,8921,1518,5,2016-06-02 12:00:00,2016-06-02 13:00:00,2
7086,8416,1520,1,2016-06-03 09:00:00,2016-06-03 09:50:00,2
7088,7858,1311,1,2016-06-02 13:00:00,2016-06-02 14:00:00,2
7090,9757,1351,1,2016-06-04 08:30:00,2016-06-04 09:30:00,2
7094,8416,1520,1,2016-06-04 14:00:00,2016-06-04 14:50:00,2
7098,4811,1385,1,2016-06-04 11:00:00,2016-06-04 11:50:00,2
7099,6866,1524,5,2016-06-04 20:00:00,2016-06-04 20:50:00,2
7108,8904,1293,1,2016-06-03 11:00:00,2016-06-03 11:50:00,2
7109,5281,1468,1,2016-06-04 08:30:00,2016-06-04 09:30:00,2
7111,3142,1500,1,2016-06-04 08:30:00,2016-06-04 09:30:00,2
7112,3142,1500,1,2016-06-04 08:30:00,2016-06-04 09:30:00,2
7116,5689,1406,1,2016-06-03 17:00:00,2016-06-03 18:00:00,2
7117,6756,1464,1,2016-06-03 16:00:00,2016-06-03 17:00:00,2
7121,7233,1470,1,2016-06-04 16:00:00,2016-06-04 17:00:00,2
7122,7209,1313,1,2016-06-04 14:00:00,2016-06-04 15:00:00,2
7127,18,1534,1,2016-06-06 09:30:00,2016-06-06 10:20:00,2
7139,8504,1370,1,2016-06-06 14:30:00,2016-06-06 15:30:00,2
7141,5342,1368,1,2016-06-07 08:30:00,2016-06-07 09:20:00,2
7143,4600,1115,1,2016-06-07 10:30:00,2016-06-07 10:30:00,2
7145,3869,1473,5,2016-06-07 10:00:00,2016-06-07 11:00:00,2
7150,7569,1503,1,2016-05-31 13:45:00,2016-05-31 14:45:00,2
7151,7569,1503,1,2016-06-07 13:45:00,2016-06-07 14:45:00,2
7152,8851,1498,1,2016-06-06 13:49:00,2016-06-06 14:49:00,2
7153,2735,1538,1,2016-05-30 13:54:00,2016-05-30 14:54:00,2
7154,2735,1538,1,2016-06-06 13:57:00,2016-06-06 14:57:00,2
7159,1749,1372,1,2016-06-06 15:00:00,2016-06-06 16:00:00,2
7162,10103,1177,1,2016-06-07 10:40:00,2016-06-07 11:20:00,2
7165,2591,1434,5,2016-06-07 19:00:00,2016-06-07 20:00:00,2
7166,6270,1507,1,2016-06-07 18:00:00,2016-06-07 19:00:00,2
7169,1752,1430,1,2016-06-07 16:00:00,2016-06-07 17:00:00,2
7171,3308,1544,1,2016-06-07 14:00:00,2016-06-07 14:50:00,2
